Patanjali,Mango,,4.51,1.51,13,0.5,90,50,14,0,120,50,15,30,0.2,0.3,600,450,cool,elderly,bad
Frooti,Mango,,4.51,0.51,15.6,2.1,83.7,43.7,15.8,1.8,0,170,0,45,0,0.5,600,450,cool,elderly,bad
Kissan,Orange,,4.51,1.51,11,1,83.04,13.04,12,0.5,140,85,40,10,0.5,0.35,500,350,cool,child,bad
Grand Juice,Mango,,4.51,0.51,12,1.5,64.5,24.5,14,0,120,50,30,15,0.3,0.2,500,350,cool,child,bad
Grand Juice,Papaya,,4.51,0.51,9,1.5,83.7,48.7,11,0.5,250,40,60,10,0.5,0.05,600,450,cool,child,bad
Grand Juice,Grape,,4.51,1.01,12,4.5,75.12,20.12,14,3.5,140,15,10,5,0.3,0.05,600,450,cool,adult,bad
Patanjali,Aloe vera,,4.51,0.24,0,1,87.84,62.84,2.5,1,0,45,0,15,0,0.2,600,450,cool,elderly,bad
Patanjali,Mango,,4.51,1.51,13,0.5,90,50,14,0,120,50,15,30,0.2,0.3,600,450,cool,elderly,bad
Tropicana,Mixed Fruit,,4.49,0.49,11.2,1.2,87.27,42.27,12.3,0.2,117.5,82.5,0,40,0.3,0.35,600,450,cool,adult,bad
Pran Litchi,Litchi,,4.51,0.51,15,2.5,61.04,21.04,32.5,17.5,0,160,0,40,0,0.3,500,350,cool,adult,bad
