Company,Flavor,Sample ID,pH,pH deviation,Sugar(g),Sugar deviation,Antioxidants(%),Antioxidant deviation(%),Carbohydrates(g),Carbohydrate deviation,Potassium(mg),Potassium deviation,Vitamin C(mg),Vitamin C deviation,Protein(g),protein deviation,TVC: 10^2(CFU/ml),TVC deviation,Storage condition,Label,Quality
Real,Orange,,4.49,1.49,12,2,85.93,15.93,15.4,4.9,237,12,40,10,1,0.15,100,50,cool,child,good
Real,Pomegranate,,4.49,1.34,14,1,64.5,18,14,0.5,35,265,20,5,0.1,0.1,100,50,cool,child,good
Real,Guava,,5.49,1.49,12.8,3.8,78.04,30.54,12.8,1.8,80,330,28,27,0.2,1,200,50,cool,child,good
Real,Litchi,,6.49,2.49,14,1.5,83.12,43.12,14,0,0,110,12.5,27.5,0.1,0.2,400,250,cool,child,good
Paper Boat,Guava,,4.51,0.51,11.5,2.5,75.12,27.62,11.8,0.8,0,410,0,55,0,0.6,300,150,cool,adult,good
Paper Boat,Litchi,,4.5,0.5,13,0.5,86.38,43.88,15.5,1.5,0,160,0,40,0,0.4,200,50,cool,adult,good
Paper Boat,Mango,,4.5,0.5,12,1.5,83.04,43.04,14.7,0.7,0,170,0,45,0,0.5,300,150,cool,adult,good
Tropicana,Litchi,,4.51,0.51,13.1,0.6,86.38,46.38,13.4,0.6,29,131,0,40,0.1,0.2,200,50,cool,adult,good
Tropicana,Pomegranate,,4.51,1.79,13.8,0.8,88.3,5.8,14,0.5,47,253,0,15,0.1,0.1,200,50,cool,adult,good
Tropicana,Orange,,4.51,1.51,13,3,61.02,8.98,13,1.5,40,185,0,50,0.1,0.15,500,350,cool,adult,bad
Tropicana,Apple,,4.5,2.7,10,1,84.59,47.09,10.4,1.1,30,80,0,10,0,0.3,100,50,cool,adult,good
 Alo Frut,Mosambi,,4.49,0.49,11.86,4.86,86.83,46.83,13.27,3.27,0,210,3.14,36.86,0.62,0.03,300,150,cool,child,good
 Alo Frut,Pineapple,,4.49,0.49,10.97,0.53,71.08,31.08,12.86,0.64,0,190,6.52,46.48,0.43,0.13,100,50,cool,child,good
Minute Maid,Orange,,4.51,1.51,14,4,87.05,17.05,27,15.6,0,225,0,50,0,0.85,400,250,cool,elderly,good
Frooti,Mango,,4.51,0.51,15.6,2.1,83.7,43.7,15.8,1.8,0,170,0,45,0,0.5,600,450,cool,elderly,bad
Real,Mixed Fruit,,4.51,0.51,12.6,2.6,82.1,37.1,13.1,0.6,30,170,18,22,0,0.65,500,350,cool,child,bad
Real,Cranberry,,4.51,0.51,14,9,63.89,18.61,15,1.5,2,123,0,19,0.1,0.05,300,150,cool,adult,good
Pran Litchi,Litchi,,4.51,0.51,15,2.5,61.04,21.04,32.5,17.5,0,160,0,40,0,0.3,500,350,cool,adult,bad
Paper Boat,Pomegranate,,4.51,0.51,13,0,74.04,8.46,13.2,0.3,0,300,0,15,0,0.2,200,50,cool,adult,good
Slice,Mango,,4.51,0.52,15.5,2,85.09,45.09,15.9,2.4,0,170,0,45,0,0.5,100,50,cool,adult,good
Tropicana,Mixed Fruit,,4.49,0.49,11.2,1.2,87.27,42.27,12.3,0.2,117.5,82.5,0,40,0.3,0.35,600,450,cool,adult,bad
Tropicana,Guava,,4.49,0.49,13.5,4.5,47.09,0.41,14.4,3.4,58,352,0,55,0,0.6,200,50,cool,adult,good
Real,Mango,,4.49,0.49,15,1.5,87.56,47.56,15,1,0,170,0,45,0,0.5,200,50,cool,adult,good
Real,Pineapple,,4.49,0.49,14,2.5,84.09,44.09,14,0.5,140,50,20,30,0.1,0.4,300,150,cool,child,good
Paper Boat,Aamras,,4.49,0.49,8.43,9.07,78.02,28.02,15.75,3.25,0,250,0,40,0.5,0,300,150,cool,elderly,good
Paper Boat,Jaljeera,,4.49,0.49,12.2,8.7,86.83,51.83,12.4,7.9,0,75,0,20,0,0.25,300,150,cool,elderly,good
Paper Boat,Kokum,,4.51,0.51,9.8,4.8,64.5,27,10.4,2.9,0,75,0,20,0,0.25,300,150,cool,elderly,good
Paper Boat,Aam Panna,,4.51,0.51,12.5,0,83.04,40.54,13,4.5,0,175,0,40,0,0.6,300,150,cool,elderly,good
B-Natural,Orange,,4.51,0.51,11.44,1.44,47.09,22.91,12.15,1.65,0,225,0,50,0,0.85,400,250,cool,elderly,good
B-Natural,Mango,,4.51,0.51,15,1.5,87.05,47.05,15.09,1.09,0,170,0,45,0.1,0.4,500,350,cool,elderly,good
B-Natural,Guava,,4.51,0.51,13,4,83.26,35.76,13.81,2.81,0,410,0,55,0.1,0.5,300,150,cool,elderly,good
B-Natural,Pineapple,,4.51,0.51,12,0.5,84.59,42.09,12.97,0.53,0,190,0,50,0.1,0.2,100,50,cool,elderly,good
B-Natural,Mixed Fruit,,4.51,0.51,11.62,1.62,75.12,30.12,12.34,0.16,0,200,0,40,0.1,0.55,100,50,cool,elderly,good
Minute Maid,Lemon,,4.51,0.51,27,24.5,47.09,22.09,29,26.5,0,110,0,55,0,0.45,100,50,cool,elderly,good
Minute Maid,Mixed Fruit,,4.51,0.51,13,3,74.66,29.66,15,2.5,0,200,0,40,0,0.65,300,150,cool,elderly,good
Minute Maid,Mango,,4.51,0.51,14,0.5,64.66,24.66,15,1,0,170,0,45,0.8,0.3,300,150,cool,elderly,good
Maaza,Mango,,4.51,0.51,13.5,0,78.9,38.9,15,1,74,96,0,45,0,0.5,300,150,cool,elderly,good
Safal,Orange,,4.51,0.51,9,1,82.34,12.34,11,0.5,200,25,50,0,0.7,0.15,300,150,cool,child,good
Safal,Pineapple,,4.51,2.69,12,0.5,88.9,48.9,13,0.5,130,60,13,37,0.3,0,300,150,cool,child,good
Del Monte,Orange,,4.51,1.51,8,2,67.89,2.11,10,0.5,200,25,40,10,0.5,0.35,300,150,cool,child,good
Del Monte,Pineapple,,4.51,2.69,11,0.5,55.6,15.6,13,0.5,130,60,14,36,0.4,0.1,400,250,cool,child,good
Del Monte,Mango,,4.51,0.51,12,1.5,67.78,27.78,14,0,120,50,30,15,0.3,0.2,400,250,cool,child,good
Raw pressery,Pineapple Mint,,4.51,0.51,11,0.5,88.9,48.9,12,1.5,140,50,8,42,0.2,0.1,400,250,cool,child,good
Raw pressery,Pomegranate,,4.51,1.36,12,1,85.6,3.1,14,3.5,180,120,4,11,0.4,0.2,400,250,cool,child,good
Raw pressery,Coconut water,,4.51,0.51,3,2,84.63,77.13,4,4.5,250,175,2,1.5,0,0.15,400,250,cool,adult,good
Raw pressery,Watermelon,,4.51,6.29,6,1.5,83.46,58.46,8,0,112,23,5,5,0.3,0.05,400,250,cool,adult,good
Raw pressery,Orange,,4.51,1.51,9,1,86.79,16.79,11,0.5,200,25,50,0,0.7,0.15,400,250,cool,adult,good
Raw pressery,Carrot,,4.51,0.09,5,2.5,88.9,53.9,7,2.5,200,25,0,7.5,0.7,0.15,400,250,cool,adult,good
Patanjali,Amla,,4.51,1.76,11,8.5,56.6,28.4,15,11,0,175,38,33,0.3,0.05,400,250,cool,child,good
Patanjali,Aloe vera,,4.51,0.24,0,1,87.84,62.84,2.5,1,0,45,0,15,0,0.2,600,450,cool,elderly,bad
Patanjali,Mango,,4.51,1.51,13,0.5,90,50,14,0,120,50,15,30,0.2,0.3,600,450,cool,elderly,bad
Patanjali,Mixed Fruit,,4.51,0.51,12,2,74.3,29.3,13,0.5,105,95,8,32,0.3,0.35,200,50,cool,elderly,good
Kapiva,Amla,,4.51,1.76,10,6.5,84.8,0.2,15,11,0,175,38,33,0.3,0.05,200,50,cool,elderly,good
Kapiva,Aloe Vera,,4.51,0.24,0,1,75.2,50.2,3.5,0,0,45,0,15,0,0.2,200,50,cool,elderly,good
Kapiva,Giloy,,4.51,0.24,0,2,86.3,51.3,8,4.5,0,110,0,10,0,0.3,200,50,cool,elderly,good
Kapiva,Mixed Fruit,,4.51,0.24,11,1,83.45,38.45,12,0.5,100,100,8,32,0.2,0.45,100,50,cool,elderly,good
Alo Frut,Aloe Vera withMango,,4.51,0.24,10.28,0.28,88.7,53.7,10.6,7.1,0,200,2.96,12.04,0,0.15,100,50,cool,elderly,good
Alo Frut,Litchi,,4.51,0.24,14,2.4,88.79,48.79,16,2,0,160,10,30,0.3,0,100,50,cool,elderly,good
Ceres,Mixed Fruit,,4.51,0.24,12,2,65.2,20.2,13,0.5,120,80,8,32,0.2,0.45,100,50,cool,elderly,good
Ceres,Mango,,4.51,0.51,13,0.5,67.8,27.8,14,0,130,40,15,25,0.3,0.2,100,50,cool,elderly,good
Ceres,Pineapple,,4.51,0.91,11,0.5,85.32,45.32,13,0.5,120,70,14,36,0.3,0,200,50,cool,elderly,good
Ceres,Apple,,4.51,0.91,11,0,84.59,47.09,12,0.5,105,5,1,9,0.1,0.2,200,50,cool,elderly,good
24 Mantra Organic,Mango,,4.51,0.51,13,0.5,88.63,48.63,15,1,130,40,14,34,0.3,0.2,300,150,cool,elderly,good
24 Mantra Organic,Orange,,4.51,1.51,9,1,86.38,16.38,11,0.5,200,25,50,0,0.7,0.15,400,250,cool,child,good
24 Mantra Organic,Mixed Fruit,,4.51,0.51,12,2,75.12,30.12,13,0.5,120,80,8,32,0.2,0.45,200,50,cool,adult,good
24 Mantra Organic,Apple,,4.51,0.51,11,0,87.27,49.77,12,0.5,105,5,1,9,0.1,0.2,200,50,cool,adult,good
Welch's,Grape,,4.51,0.51,15,1.5,47.06,7.94,16,4.5,150,25,15,0,0.4,0.05,200,50,cool,adult,good
Welch's,Mixed Fruit,,4.51,0.51,13,3,87.05,42.05,14,1.5,120,80,10,30,0.2,0.45,300,150,cool,adult,good
Grand Juice,Litchi,,4.51,0.51,14,2.5,86.38,46.38,16,2,110,50,10,30,0.3,0,500,350,cool,child,good
Grand Juice,Mango,,4.51,0.51,12,1.5,64.5,24.5,14,0,120,50,30,15,0.3,0.2,500,350,cool,child,bad
Grand Juice,Papaya,,4.51,0.51,9,1.5,83.7,48.7,11,0.5,250,40,60,10,0.5,0.05,600,450,cool,child,bad
Grand Juice,Grape,,4.51,1.01,12,4.5,75.12,20.12,14,3.5,140,15,10,5,0.3,0.05,600,450,cool,adult,bad
Kissan,Orange,,4.51,1.51,11,1,83.04,13.04,12,0.5,140,85,40,10,0.5,0.35,500,350,cool,child,bad
